-3.141593 | 0.0919997 | - | 0.1013212
-2.988345 | 0.1007029 | - | 0.1119795
-2.835097 | 0.1106467 | - | 0.1244126
-2.681849 | 0.1220657 | - | 0.1390373
-2.528601 | 0.1352481 | - | 0.1564010
-2.375353 | 0.1505503 | - | 0.1772327
-2.222105 | 0.1684140 | - | 0.2025214
-2.068857 | 0.1893879 | - | 0.2336357
-1.915609 | 0.2141531 | - | 0.2725125
-1.762361 | 0.2435511 | - | 0.3219663
-1.609113 | 0.2786102 | - | 0.3862132
-1.455865 | 0.3205599 | - | 0.4718000
-1.302617 | 0.3708084 | 0.3061904 | 0.5893411
-1.149369 | 0.4308398 | 0.4310232 | 0.7569745
-0.996121 | 0.5019434 | 0.4866978 | 1.0078040
-0.842873 | 0.5846468 | 0.4996005 | 1.4075895
-0.689625 | 0.6776986 | 0.4775354 | 2.1026858
-0.536377 | 0.7765784 | 0.4229191 | 3.4758433
-0.383129 | 0.8720011 | 0.3362053 | 6.8125645
-0.229881 | 0.9498073 | 0.2185914 | 18.9232174
-0.076633 | 0.9941617 | 0.0761866 | 170.2831774
0.076615 | 0.9941644 | 0.0761695 | 170.3605318
0.229863 | 0.9498145 | 0.2185765 | 18.9260823
0.383111 | 0.8720112 | 0.3361936 | 6.8131833
0.536359 | 0.7765897 | 0.4229111 | 3.4760688
0.689607 | 0.6777096 | 0.4775310 | 2.1027919
0.842855 | 0.5846568 | 0.4995999 | 1.4076476
0.996103 | 0.5019521 | 0.4867014 | 1.0078392
1.149351 | 0.4308472 | 0.4310326 | 0.7569975
1.302599 | 0.3708147 | 0.3062114 | 0.5893568
1.455847 | 0.3205651 | - | 0.4718113
1.609095 | 0.2786146 | - | 0.3862215
1.762343 | 0.2435547 | - | 0.3219726
1.915591 | 0.2141561 | - | 0.2725174
2.068839 | 0.1893905 | - | 0.2336396
2.222087 | 0.1684162 | - | 0.2025246
2.375335 | 0.1505521 | - | 0.1772353
2.528583 | 0.1352497 | - | 0.1564031
2.681831 | 0.1220670 | - | 0.1390391
2.835079 | 0.1106479 | - | 0.1244141
2.988327 | 0.1007039 | - | 0.1119808
3.141575 | 0.0920006 | - | 0.1013223
